CAS,Chemical Name,Glove_AlphaTec_02-100,Glove_AlphaTec_Solvex_37-675,Glove_AlphaTec_38-001,Glove_AlphaTec_39-122_124,Glove_AlphaTec_53-002_003,Glove_AlphaTec_58-270,Glove_AlphaTec_58-530_535,Glove_DermaShield_73-701_711_721,Glove_TouchNTuff_92-600_605,Glove_MICROFLEX_93-260_360
64-18-6,Hydrogen Carboxylic Acid (98%),240-480,22,240-480,10-30,> 480,10-30,10-30,350,< 10,20
64742-49-0,Hydrocarbons C6 isoalkanes <5% n-hexane,> 480,> 480,< 10,> 480,> 480,> 480,> 480,10-30,> 480,> 480
7439-97-6,HYDRARGYRUM,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
64-18-6,HYDROGEN CARBOXYLIC ACID (90%),240-480,30-60,> 480,10-30,> 480,10-30,30-60,240-480,< 10,30-60
64742-48-9,Hydrocarbons C9-C11 n-alkanes isoalkanes cyclics <2% aromatics,> 480,> 480,10-30,> 480,> 480,> 480,> 480,30-60,> 480,> 480
7664-39-3,HF (40%),> 480,120-240,> 480,30-60,> 480,60,160,120-240,< 10,> 480
7664-39-3,HF (49%),> 480,179,> 480,10-30,> 480,30-60,48,405,< 10,30-60
7664-39-3,HF (10%),> 480,240-480,> 480,60-120,> 480,120-240,240-480,> 480,10-30,60-120
110-54-3,Hexane,> 480,> 480,< 10,> 480,> 480,> 480,> 480,10-30,> 480,> 480
7647-01-0,HCI (Gas),280,120-240,240-480,10-30,240-480,10-30,30-60,30-60,< 10,80-120
57-55-6,Glicole propilenico,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,> 480,> 480
8014-95-7,Fuming sulfuric acid (20%),240-480,10-30,60-120,< 10,120-240,10-30,< 10,30-60,< 10,10-30
96-48-0,Gamma-butirrolattone,> 480,10-30,> 480,< 10,> 480,< 10,10-30,30-60,< 10,< 10
56-81-5,Glicerina,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
76-13-1,Freon 113,240-480,240-480,< 10,60-120,10-30,60-120,120-240,10-30,10-30,120-240
50-00-0,Formalin (37%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
50-00-0,Formaldeide (10%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
62-53-3,fenilammina,> 480,30-60,> 480,10-30,> 480,10-30,30-60,< 10,< 10,10-30
108-95-2,Fenolo (90%),> 480,64,> 480,10-30,> 480,10-30,78,10-30,< 10,10-30
108-88-3,fenilmetano,> 480,23,< 10,< 5,> 480,< 10,19,1,< 10,6
78-93-3,Ethyl Methyl Ketone,> 480,5,138,< 10,> 480,< 10,7,1,< 10,3
107-07-3,Ethylene Chlorohydrin,> 480,10-30,240-480,< 10,> 480,< 10,< 10,60-120,< 10,30-60
110-80-5,ETHYLENE GLYCOL MONOETHYL ETHER,> 480,120-240,> 480,30-60,> 480,30-60,60-120,30-60,< 10,30-60
100-41-4,ETHYLBENZOL,> 480,10-30,< 10,< 10,> 480,< 10,23,< 10,< 10,< 10
107-12-0,Ethyl Cyanide,> 480,10-30,> 480,< 10,> 480,< 10,< 10,10-30,< 10,10-30
107-21-1,Ethane-1,2-Diol,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,> 480,> 480
64-19-7,Ethanoic acid,228,102,> 480,27,> 480,25,42,87,8,30
75-08-1,Etantiolo,10-30,10-30,< 10,< 10,10-30,< 10,19,< 10,< 10,10
100-42-5,etenilbenzene,> 480,24,10-30,8,> 480,< 10,19,< 10,< 10,10
75-07-0,Etanale Aldeide acetica Aldeide etilica,240-480,< 10,> 480,< 10,240-480,< 10,< 10,< 10,< 10,10
141-78-6,Estere etilico di acido acetico,> 480,18,77,< 5,> 480,< 10,15,< 10,< 10,5
64-19-7,Essigsäure (50%),> 480,240-480,> 480,120-240,> 480,120-240,240-480,240-480,60-120,120-240
999-97-3,Esametildisilazano,> 480,> 480,240-480,240-480,120-240,240-480,240-480,10-30,60-120,> 480
592-41-6,Esene,> 480,> 480,< 10,> 480,> 480,> 480,> 480,10-30,> 480,> 480
111-15-9,EGEEA,> 480,60-120,> 480,10-30,> 480,10-30,30-60,10-30,< 10,30-60
110-82-7,Esaidrobenzene,> 480,> 480,10-30,> 480,> 480,> 480,> 480,7,> 480,30-60
106-89-8,Epicloridrina (99%),> 480,< 10,> 480,< 10,60-120,< 10,< 10,< 10,< 10,< 10
7681-52-9,eau de javel (15%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
108-65-6,Dowanol PMA,> 480,132,> 480,30-60,> 480,30-60,60-120,< 10,< 10,10-30
107-98-2,Dowanol PM,> 480,236,> 480,13,> 480,30-60,60-120,60-120,10-30,60-120
111-76-2,Dowanol EB,> 480,> 480,> 480,60-120,> 480,60-120,60-120,120-240,60-120,10-30
142-82-5,DIPROPIL METANO,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
64742-47-8,Distillati (petrolio) frazione leggera idrotrattata,> 480,> 480,10-30,< 10,> 480,< 10,10-30,< 10,< 10,10-30
