CAS,Chemical Name,Glove_AlphaTec_02-100,Glove_AlphaTec_Solvex_37-675,Glove_AlphaTec_38-001,Glove_AlphaTec_39-122_124,Glove_AlphaTec_53-002_003,Glove_AlphaTec_58-270,Glove_AlphaTec_58-530_535,Glove_DermaShield_73-701,Glove_TouchNTuff_92-600,Glove_MICROFLEX_93-260
1330-20-7,Xylol isomeric mixture,>480,>480,10-30,>480,>480,>480,>480,<10,<10,>480
1120-21-4,Undecane,49,>480,10-30,22,10,24,30-60,30-60,>480,12
1319-77-3,Tricresol,240-480,120-240,>480,30-60,>480,30-60,60-120,60-120,10-30,60-120
79-01-6,Tricloroetilene,>480,10-30,<10,<2,>480,<10,<10,<10,<10,<10
102-71-6,Trietanolammina,240-480,>480,>480,>480,>480,>480,>480,120-240,>480,>480
7705-08-0,tricloruro di ferro,>480,>480,>480,>480,>480,>480,>480,>480,4,>480
10025-78-2,Triclorosilano,240-480,10-30,<10,<10,120-240,<10,10-30,<10,<10,10-30
67-66-3,Trichloromethane,32,<10,<10,<10,30,<10,<10,<5,<10,10-30
123-86-4,THINNER NO. 66,>480,29,30-60,3,>480,19,27,<10,3,N.A.
624-49-7,trans-1 2-Ethylenedicarboxylic acid dimethyl ester,>480,>480,>480,>480,>480,>480,>480,240-480,240-480,>480
108-31-6,TOXILIC ANHYDRIDE,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
108-88-3,Toluolo,>480,23,<10,<5,>480,<10,19,N.A.,<10,6
56-23-5,Tetracloruro di carbonio,>480,120-240,10-30,30-60,>480,30-60,60-120,<10,<10,39
1634-04-4,Tert-Butyl Methyl Ether,>480,240-480,10-30,60-120,>480,60-120,120-240,<10,67,60-120
110-05-4,tert-butil perossido,>480,>480,60-120,240-480,240-480,240-480,>480,60-120,120-240,240-480
584-84-9,TDI,>480,120-240,>480,30-60,>480,30-60,120-240,10-30,10-30,30-60
121-44-8,TEA,>480,>480,120-240,>480,>480,120-240,240-480,<10,>480,>480
7664-93-9,Sulphuric acid (96%),>480,52,240-480,9,156,51,34,119,14,49
26471-62-5,TDI,>480,120-240,>480,30-60,>480,30-60,120-240,10-30,10-30,40
76-03-9,TCA,>480,10-30,240-480,<10,>480,<10,10-30,30-60,<10,10-30
7790-94-5,Sulphuric Chlorohydrin,60-120,<10,10-30,<10,10-30,<10,<10,<10,<10,<10
75-08-1,sulfidrato di etile,10-30,10-30,<10,<10,10-30,<10,<10,<10,<10,<10
497-19-8,Sodio carbonato,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
8052-41-3,Solvente Stoddard,>480,240-480,<10,120-240,>480,120-240,240-480,10-30,120-240,60-120
75-18-3,solfuro dimetile,>480,<10,<10,<10,>480,<10,<10,<10,<10,<10
1310-73-2,soda caustica (40%),>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
77-78-1,Solfato di dimetile,>480,60-120,>480,30-60,120-240,30-60,30-60,60-120,<10,30-60
67-56-1,spirito di legno,170,28,>480,4,>480,21,56,18,4,22
7681-49-4,Sodium Fluoride (saturated),>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
7439-97-6,quicksilver,>480,>480,>480,>480,>480,>480,>480,120-240,240-480,>480
107-98-2,Propylene Glycol monomethylether,>480,236,>480,13,>480,30-60,60-120,60-120,10-30,60-120
109-60-4,Propyl acetate,>480,20,30-60,<10,>480,10-30,10-30,<10,<10,<10
107-12-0,Propionitrile,>480,10-30,>480,<10,>480,<10,<10,10-30,<10,10-30
107-10-8,Propilammina n-,>480,<10,<10,<10,>480,<10,<10,<10,<10,<10
115-07-1,Propene,240-480,60-120,<10,10-30,>480,10-30,30-60,<10,<10,<10
79-10-7,Propene Acid,>480,10,>480,35,136,10-30,10-30,60-120,<10,30-60
71-36-3,Propil carbinolo,>480,60-120,>480,>480,120-240,240-480,240-480,>480,30-60,>480
67-64-1,PROPANONE,240-480,<10,60-120,10,>480,<10,6,2,1,3
123-75-1,Pirrolidina,>480,10-30,<10,>480,>480,<10,10-30,<10,<10,<10
110-86-1,Piridina,>480,>480,10,120-240,323,<10,<10,1,<10,<10
71-23-8,Propanol,>480,7,>480,>480,>480,>480,240-480,60-120,21,200
79-09-4,Propanoic acid,60-120,60-120,30-60,>480,>480,30-60,30-60,30-60,10-30,30-60
25322-68-3,Polyethylene glycol,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
107-18-6,Piombo tetraetile,51,10-30,>480,<10,60-120,>480,120-240,>480,>480,>480
