CAS,Chemical_Name,Percentage,Physical_State,AlphaTec_02-100,AlphaTec_Solvex_37-675,AlphaTec_38-001,AlphaTec_39-122.124,AlphaTec_53-002.003,AlphaTec_58-270,AlphaTec_58-530.535,DermaShield_73-701.711.721,TouchNTuff_92-600.605.93-300.700,MICROFLEX_93-260.360
123-75-1,Azacyclopentane,100.0,L,> 480,10-30,60-120,< 10,240-480,< 10,10-30,< 10,< 10,< 10
110-86-1,Azine,100.0,L,> 480,10,60-120,< 10,323,< 10,< 10,1,< 10,< 10
108-31-6,ANODRIDE TOXILICA,100.0,S,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
1336-21-6,Ammonia aqueous sol.,33.0,L,N.A.,120-240,> 480,10-30,> 480,120-240,120-240,< 10,< 10,10-30
7664-41-7,Ammonia anhydrous,100.0,G,24,120-240,> 480,30-60,240-480,30-60,30-60,10-30,10-30,> 480
1336-21-6,Ammonia aqueous sol.,35.0,L,N.A.,120-240,> 480,< 10,240-480,60-120,120-240,< 10,< 10,10-30
108-91-8,Amminocicloesano,100.0,L,240-480,60-120,30-60,10-30,> 480,10-30,30-60,< 10,< 10,10-30
1336-21-6,Ammonia aqueous sol.,25.0,L,15,232,> 480,31,> 480,181,288,26,26,51
1336-21-6,Ammonia aqueous sol.,10.0,L,N.A.,240-480,> 480,60-120,> 480,240-480,240-480,30-60,30-60,60-120
62-53-3,Amminobenzene,100.0,L,> 480,30-60,> 480,10-30,> 480,10-30,30-60,< 10,< 10,10-30
100-44-7,alfa-clorotulene,100.0,L,> 480,10-30,30-60,< 10,60-120,< 10,< 10,< 10,< 10,< 10
67-56-1,Alcol metilico,100.0,L,170,28,> 480,4,> 480,21,56,18,4,22
71-36-3,alcol butilico,100.0,L,> 480,> 480,> 480,240-480,> 480,240-480,> 480,> 480,30-60,> 480
107-13-1,Acrilonitrile,100.0,L,> 480,< 10,240-480,< 10,60-120,< 10,6,< 10,< 10,3
107-18-6,Alcol allilico,100.0,L,> 480,51,> 480,10-30,> 480,10-30,30-60,< 10,< 10,30-60
107-21-1,ALCOL ETILENICO,100.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,> 480,> 480
64-17-5,alcol denaturato,100.0,L,> 480,240-480,> 480,60-120,> 480,60-120,120-240,27,26,130
7722-84-1,Albone,30.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,72,446
7697-37-2,Acquaforte,65.0,L,> 480,62,305,10-30,> 480,10-30,73,480,6,30
75-05-8,ACN,100.0,L,> 480,5,> 480,3,> 480,< 10,5,8,< 10,5
7664-93-9,acido solforico,99.0,L,> 480,30-60,120-240,< 10,120-240,30-60,10-30,60-120,< 10,30-60
75-98-9,Acido trimetilacetico,100.0,S,> 480,> 480,> 480,60-120,> 480,60-120,120-240,10-30,30-60,60-120
7664-93-9,acido solforico,50.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
7664-38-2,Acido ortofosforico,85.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
76-03-9,Acido tricloroacetico,100.0,S,> 480,10-30,240-480,< 10,> 480,< 10,10-30,30-60,< 10,10-30
77-78-1,acido solforico,100.0,L,> 480,60-120,> 480,30-60,120-240,30-60,30-60,60-120,< 10,30-60
7697-37-2,Acido nitrico fumante (bianco),100.0,L,> 480,< 10,30-60,< 10,< 6,< 10,< 10,1,< 10,< 10
8014-95-7,Acido solforico fumante,20.0,L,240-480,10-30,60-120,< 10,120-240,10-30,< 10,30-60,< 10,10-30
7647-01-0,Acido muriatico,37.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,30-60,> 480
1333-82-0,acido di cromo,50.0,L,> 480,> 480,60-120,120-240,> 480,120-240,> 480,30-60,10-30,120-240
64-18-6,Acido carbossilico di idrogeno,98.0,L,240-480,22,240-480,10-30,> 480,10-30,10-30,350,< 10,20
79-09-4,ACIDO ETILFORMICO,100.0,L,60-120,60-120,> 480,30-60,> 480,30-60,30-60,30-60,10-30,30-60
1319-77-3,Acido cresilico,100.0,L,240-480,120-240,> 480,30-60,> 480,30-60,60-120,60-120,10-30,60-120
64-18-6,ACIDO CARBOSSILICO DI IDROGENO,90.0,L,240-480,30-60,> 480,10-30,> 480,10-30,30-60,240-480,< 10,30-60
7790-94-5,Acido clorosolfonico,100.0,L,60-120,< 10,10-30,< 10,10-30,< 10,< 10,< 10,< 10,< 10
7697-37-2,acido azotico,70.0,L,> 480,26,> 480,8,> 480,14,53,> 480,< 10,39
144-62-7,Acido etandioico,10.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
141-78-6,Acetic Ester,100.0,L,> 480,18,77,< 5,> 480,< 10,15,< 10,< 10,5
79-10-7,Acido acrilico,100.0,L,> 480,10,> 480,35,136,10-30,10-30,60-120,< 10,30-60
108-24-7,ACETYL ANHYDRIDE,100.0,L,> 480,< 10,> 480,< 10,> 480,< 10,< 10,10-30,< 10,< 10
64-19-7,Acetic acid,50.0,L,> 480,240-480,> 480,120-240,> 480,120-240,240-480,240-480,60-120,120-240
64-19-7,Acido acetico glaciale,100.0,L,228,102,> 480,27,> 480,25,42,67,8,30
75-07-0,Acetaldeide,100.0,L,240-480,< 10,> 480,< 10,240-480,< 10,< 10,< 10,< 10,< 10
1333-82-0,Acido cromico soluzione acquosa,50.0,L,> 480,> 480,60-120,120-240,> 480,120-240,> 480,30-60,10-30,120-240
7647-01-0,Acido cloridrico (>99.0% p/p) 1 atmosfera,100.0,G,280,120-240,240-480,10-30,240-480,10-30,30-60,30-60,< 10,60-120
77-92-9,Acido citrico anidro,100.0,S,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
75-05-8,Acetonitrile,100.0,L,> 480,5,> 480,3,> 480,< 10,5,8,< 10,5
79-10-7,Acido 2-propenoico,100.0,L,> 480,10,> 480,35,136,10-30,10-30,60-120,< 10,30-60
108-90-7,Acetil cloruro,100.0,L,> 480,< 10,< 10,< 10,> 480,< 10,< 10,< 10,< 10,2
64-19-7,Acetic acid glacial,100.0,L,228,102,> 480,27,> 480,25,42,67,8,30
108-05-4,Acetato di vinile,100.0,L,> 480,10-30,60-120,< 10,> 480,< 10,< 10,< 10,< 10,< 10
106-43-4,4-Chlorotoluene,100.0,L,> 480,10-30,< 10,< 10,> 480,< 10,10-30,< 10,< 10,< 10
96-48-0,4-Butyrolactone,100.0,L,> 480,10-30,> 480,< 10,> 480,< 10,10-30,30-60,< 10,< 10
590-92-1,3-bromopropionic acid,100.0,S,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,240-480,> 480
107-18-6,2-Propenol,100.0,L,> 480,51,> 480,10-30,> 480,10-30,30-60,< 10,< 10,30-60
67-64-1,2-Propanone,100.0,L,> 480,7,> 480,< 5,> 480,< 10,6,2,1,3
67-63-0,2-propanol,100.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,234,175,380
78-83-1,2-Methylpropan-1-ol,100.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,60-120,> 480
95-53-4,2-Methyliniline,100.0,L,240-480,30-60,> 480,10-30,> 480,10-30,30-60,< 10,< 10,< 10
111-15-9,2-Ethoxyethylacetate,100.0,L,> 480,60-120,> 480,10-30,> 480,10-30,30-60,10-30,< 10,30-60
107-07-3,2-chloroethanol,100.0,L,> 480,10-30,240-480,< 10,> 480,< 10,< 10,60-120,< 10,30-60
78-93-3,2-butanone,100.0,L,> 480,5,136,1,> 480,< 10,7,1,< 10,3
584-84-9,2,4- TDI,100.0,L,> 480,120-240,> 480,30-60,> 480,30-60,120-240,10-30,10-30,30-60
